_id,Name,Type,Level,Rarity,Damage,Health,Energy,Sanity,Time Stamp
611532621b8964772805d471,Djinni,Elemental,2,Rank 1,2d4+2,7.04,8.97,8.78,2021-08-12 14:38:26
611532621b8964772805d472,Red Demon,Demonic,6,Rank 1,6d4+1,23.97,24.98,24.94,2021-08-12 14:38:26
611532621b8964772805d473,Wraith,Undead,5,Rank 1,5d4,21.76,19.42,20.59,2021-08-12 14:38:26
611532621b8964772805d474,Goblin Archer,Devilkin,3,Rank 2,3d6+1,19.67,19.1,17.56,2021-08-12 14:38:26
611532621b8964772805d475,Green Faerie,Fey,7,Rank 1,7d4+3,27.94,27.58,28.53,2021-08-12 14:38:26
611532621b8964772805d476,Ice Mephit,Elemental,7,Rank 3,7d8,59.64,56.0,55.75,2021-08-12 14:38:26
611532621b8964772805d477,Mummy,Undead,6,Rank 4,6d10,60.18,59.01,56.72,2021-08-12 14:38:26
611532621b8964772805d478,Blue Dragon,Dragon,7,Rank 0,7d2+1,14.07,13.33,14.62,2021-08-12 14:38:26
611532621b8964772805d479,Black Faerie,Fey,4,Rank 2,4d6+4,26.86,25.47,22.03,2021-08-12 14:38:26
611532621b8964772805d47a,Dust Elemental,Elemental,3,Rank 1,3d4+2,13.86,12.84,11.63,2021-08-12 14:38:26
611532621b8964772805d47b,Hell Hound,Demonic,5,Rank 3,5d8+1,36.53,37.97,42.74,2021-08-12 14:38:26
611532621b8964772805d47c,Ghostly Villager,Undead,4,Rank 2,4d6+3,25.66,22.61,25.06,2021-08-12 14:38:26
611532621b8964772805d47d,Prince of Fear,Devilkin,10,Rank 1,10d4,40.46,39.34,39.86,2021-08-12 14:38:26
611532621b8964772805d47e,Blue Faerie,Fey,3,Rank 0,3d2+2,5.68,5.32,5.42,2021-08-12 14:38:26
611532621b8964772805d47f,Efreeti,Elemental,9,Rank 4,9d10+2,89.58,91.54,93.23,2021-08-12 14:38:26
611532621b8964772805d480,Vampire,Undead,8,Rank 4,8d10,79.95,77.02,78.27,2021-08-12 14:38:26
611532621b8964772805d481,Black Dragon,Dragon,12,Rank 5,12d12+2,144.84,144.75,142.55,2021-08-12 14:38:26
611532621b8964772805d482,Ice Spirit,Fey,10,Rank 0,10d2+2,19.25,20.27,20.51,2021-08-12 14:38:26
611532621b8964772805d483,Efreeti,Elemental,5,Rank 0,5d2+1,10.71,9.91,10.4,2021-08-12 14:38:26
611532621b8964772805d484,Hell Hound,Demonic,10,Rank 0,10d2+2,20.41,19.73,20.08,2021-08-12 14:38:26
611532621b8964772805d485,Zombie Villager,Undead,7,Rank 2,7d6+1,43.83,40.09,42.76,2021-08-12 14:38:26
611532621b8964772805d486,Faerie Dragon,Dragon,10,Rank 0,10d2+1,19.01,20.05,20.6,2021-08-12 14:38:26
611532621b8964772805d487,Mud Mephit,Elemental,6,Rank 0,6d2+3,12.53,12.12,12.2,2021-08-12 14:38:26
611532621b8964772805d488,Banshee,Undead,7,Rank 0,7d2,14.55,14.93,14.12,2021-08-12 14:38:26
611532621b8964772805d489,Kobold Villager,Devilkin,6,Rank 1,6d4+2,22.96,24.4,22.4,2021-08-12 14:38:26
611532621b8964772805d48a,Black Wyrmling,Dragon,2,Rank 1,2d4,7.46,6.86,8.34,2021-08-12 14:38:26
611532621b8964772805d48b,Onyx Faerie,Fey,5,Rank 1,5d4+2,18.75,20.81,19.73,2021-08-12 14:38:26
611532621b8964772805d48c,Mud Mephit,Elemental,4,Rank 0,4d2+2,7.59,7.8,7.89,2021-08-12 14:38:26
611532621b8964772805d48d,Imp,Demonic,6,Rank 4,6d10+1,62.74,61.98,57.27,2021-08-12 14:38:26
